Gene_ID,PSM_Rep1,PSM_Rep2,PSM_Rep3,ES_Rep1,ES_Rep2,ES_Rep3,MS_Rep1,MS_Rep2,MS_Rep3,DS_Rep1,DS_Rep2,DS_Rep3
ENSGALG00000006141,1201.8,1310.68,1195.8,1324.07,1323.58,1488.57,1543.64,1342.23,1546.93,1119.07,1458.86,1487.16
ENSGALG00000006143,83.0002,58.5686,77.0632,76.4036,73.7843,88.702,77.9734,59.2906,126.196,69.1258,57.3205,68.0975
ENSGALG00000006144,699.498,647.564,603.041,656.783,618.558,775.087,684.803,482.63,770.172,795.245,656.766,533.079
ENSGALG00000006147,1287.88,1207.96,1372.92,1554.76,1497,1832.86,1582.97,1558.98,1558.92,974,1620.8,1677.94
ENSGALG00000006149,1043.54,904.688,957.395,1151.44,843.331,1057.25,997,836.03,1030.32,1153.8,981.086,1032.09
ENSGALG00000006152,7.8874,5.67348,0,9.34106,0,0,15.61480098,0,6.85476,8.16225,0,0
ENSGALG00000006153,541.244,575,576,573,528,752,643.469,596.352,593,519.937,554.743,624.891
ENSGALG00000006156,907.9627,772.0306,862.4963,847.6431,863.4852,1163.4134,974.4411,1008.690005,998.2394,952.7872,1054.3082,1072.2023
ENSGALG00000006157,812.496,762.405,707.624,842.864,916.089,893.54,983.928,719.013,1035.03,777.171,893.949,941.278
ENSGALG00000006158,462.96,457.911,558.956,532.454,638.268,833.861,678.94,821.364,923.92,844.975,779.3,829.326
ENSGALG00000006160,137.281,538.61,451.801,0,253.277,0,317.326,0,0,149.668,362.245,0.0044823
ENSGALG00000006161,728.964,625.852,647.239,715.63,624,758.754,708.326,576.989,626.611,649.125,663.957,657.051
ENSGALG00000006165,24.7887,37.3966,36.7154,13.56740009,3.68490011,4.932530105,6.148640126,6.139130068,2.89498,6.522050163,5.60805,3.68755
ENSGALG00000006167,588.99977,585.9993,570,640,807.99969,1053,1027.00062,1027.99938,1192,821.0005,1093.99992,1161.00025
ENSGALG00000006168,0,0.5,0,0,0.5,0.5,1,0.5,0,0.5,0,0
ENSGALG00000006170,152.425,151.067,178.318,192.834,215.408,258.808,260.867,319.401,376.764,302.819,364.066,388.291
ENSGALG00000006172,155.4435,148.638,187.4855,248.3459,245.99,319.078,323.901,261.5187,192.262,185.7164,245.4,268.575
ENSGALG00000006173,275.4135,313.4131,247.3959,354.66267,363.62009,407.60941,396.18662,364.67969,350.87346,225.8741,407.2837,397.8412
ENSGALG00000006174,160,175,142,150.697,158,223,282,308.698,272,309.338,376,471.898
ENSGALG00000006175,36,19.00003,36.0079,32.00005,40,55,21.45212,30,37,37,35.00001,50.00005
ENSGALG00000006179,20365.72335,18456.8741,20508.0956,22853.7675,18102.0915,24990.3301,19676.4661,16413.49707,19617.8599,19378.2679,19379.554,19204.12749
ENSGALG00000006180,323.202,301.693,318.33,379.41,360.247,478.092,470.111,386.953,477.252,503.854,447.305,541.166
ENSGALG00000006181,435.316,451.028,371.926,500.48,442.968,551.997,589.73,491.46,588.886,439.473,540.707,546.866
ENSGALG00000006182,1359.942,1136.087,1380.823,1328.575,1355.471,1471.764,1467.522,1481.768,1544.044,1345.284,1449.785,1385.385
ENSGALG00000006186,0,0,0,2.06191,2.68514,0,1.71451,2.06349,2,0,1.81479,4.67733
ENSGALG00000006188,658.1662,662.28068,580.8984411,610.4385,625.7582727,653.05037,690.1445501,539.96836,597.49255,440.78812,625.4433,605.8917
ENSGALG00000006189,2.12483,4.08014,4.46196,0,0,5.29879,5.20746,6.87866,3.11375,2.27436,0,1.06521
ENSGALG00000006190,120.008,217.662,119,112.832,62,101.675,218.051,84.442,103.177,110.41,143.657,208.607
ENSGALG00000006192,37.1987,39.1627,49.243,57.6642,49.8546,70.4271,61.5598,69.9832,45.9557,33.2794,54.6559,55.6561
ENSGALG00000006194,255.9532,227.8925,226.0778,225.4314,244.96823,264.8521,235.5509,195.501,286.7167,334.6115,268.9146,285.481
ENSGALG00000006197,2971.741,3090.972,3103.316,3236.274,3215.313,4092.928,3435.603,3226.245,3662.1779,3177.737,3270.735,3512.734
ENSGALG00000006198,2871.95067,2271.9574,2200.4972,2200.4993,1682.1861,2045.03454,1853.05264,1305.244,2007.03194,1706.937,1639.5902,1756.47
ENSGALG00000006201,275.422,217.666,241.695,273.887,231.459,315.956,268.368,251.245,295,301,260,265.676
ENSGALG00000006202,74.5192,68.3012,34.259455,44.128,29.62587,26.6798,11.42882581,14.252021,18.8219,37.8807,51,24.00045
ENSGALG00000006203,5,0,5.22611,6.75736,5.47812,8.1445,9.45268,6.52837,7.62232,6.875592,9.80575,12.3636
ENSGALG00000006205,1048.5418,1120.4915,1231.5103,1394.4127,1329.4266,1811.2398,1374.27252,1247.68687,1403.58247,844.49585,1230.5781,1378.467
ENSGALG00000006207,2956.78982,2830.2859,3066.1045,3255.42672,2862.73811,3896.186,3321.19433,3209.4252,3477.2124,3285.1985,2968.10168,3363.2023
ENSGALG00000006208,37.9907,61.2464,51.81189,98.0748,116.2123,114.98616,126.37526,86.1288,143.36429,108.45804,123.1455,91.8156
ENSGALG00000006211,1092.9207,857.688,925.4984,1162.6896,867.9602,1230.5228,975.4689,923.8024,1071.0559,911.9959,1000.0849,999.4478
ENSGALG00000006216,3,5.021007,1.9999952,15.7208,11.4302,13.1026,47.9963,34.1315,85.2067,79.834,36.0138,36.6201
ENSGALG00000006217,50.636,56,60.6102,40,22.3408,33.5127,22.7938,31,34.2667,26.0494,28,26.9659
ENSGALG00000006219,1595.188,1755.1755,1699.927,1714.1066,1780.535415,1983.8829,1891.641208,1776.9758,1959.255,1377.291566,1830.644,1889.9859
ENSGALG00000006220,1.16871,0,3,0,2.53368,5.17996,4.21762,4.80016,0.264595,7.89692,0,2.39811
ENSGALG00000006221,580.9997,489.1701,866.4651,911.9995,1194.3974,1676.5427,1398.913,1746.8675,1863.21,1829.523,1520.9295,1748.071
ENSGALG00000006222,146.663,132.881,166.556,147.965,153.472,266.433,161.347,172.94,154.051,160.327,151.984,188.945
ENSGALG00000006225,1030.09,989,998.641,961.974,961.902,1081.84,1081.84,977.286,1055.69,815.689,972.552,1016
ENSGALG00000006229,9.53443,2.22741,0,2.8667,1,1,0,1.30396,0,0,0,0
ENSGALG00000006231,109.21202,94.3024,117.4505,89.73807,99.8971,153.1643,131.6426,109.9182,101.0606,84.35046,107.3133,126.4429
ENSGALG00000006233,1578.62,1296.32,1149.3,1417.7,1094.34,1328.43,1152.31,1053.63,1143.45,869.407,994.758,1081.37
ENSGALG00000006236,68.7722,51.5085,59.4025,31.3776,50.1487,26.21,36.3147,13.58625988,35.17907171,9.23044,23.79111203,14.6909
ENSGALG00000006237,1278.9973,1314.8172,1304.9961,1320.99325,1596.9968,1703.3395,1529.0032,1571.6433,1744.701,1172.30972,1597.31772,1727.0663
ENSGALG00000006239,0,0,0,0,0,3,0,2,0,1,0,1
ENSGALG00000006241,35,21.5964,27,28,24.8649,30,25.1651,10.9567,13.629,12,10.8581,17
ENSGALG00000006242,11.4552,10.2007,0,11,4,5.69525,6.78024,4.29194,4.60605,11.0693,5.94939,2.66554
ENSGALG00000006246,499.62,372.144,424.455,524.831,387.069,499.443,432.2,370,459.109,507.435,388.612,484.616
ENSGALG00000006250,396.76199,390.99981,365.00005,467.9999,360.00041,517.4232,425.9997,333.00041,402.0001,442.99975,405.13585,415.99978
ENSGALG00000006252,1296.02,1611.25,1462.96,1430.08,1272.03,1623.52,1360.78,1339.04,1448.66,1748.72,1376.95,1643.45
ENSGALG00000006253,1396,1255,1388.07,1474,1285,1666.50579,1474.55858,1137.06,1565.11,1292.74,1293.49372,1330.4
ENSGALG00000006254,726.781,696.578,711.964,653.598,786,792.249,781.122,773.153,834,538.954,718,728.957
ENSGALG00000006258,211,205.559,243.615,233,263,277,188.952,223.292,192,143,196,203.53
ENSGALG00000006260,0,0.999999611,1.000000284,0.999999977,0,2,0,0,1,0.999999893,0,1
ENSGALG00000006261,1967.27,1712.12,1887.78,2555.69,2415.63,2796.51,2683.64,2249.64794,2433.64,1429.05,2531.63692,2631.56666
ENSGALG00000006266,267.945,320.647,263.35,273.011,298.515,281.285,357.698,286.512,318.108,228.852,360.203,332.802
ENSGALG00000006267,6757.998,6673.508,7326.534,7679.997039,8523.002,9438.5186,9102.054,8556.051,9155.689,6878.0039,8964.844,9289.355
ENSGALG00000006270,0,0,0,3.08573,18.8695,43.54449,43,0,37.7473,56,18.9235,18.9394
ENSGALG00000006272,32.3441,30.0869,18.9317,46.9538,21.95526,30.4873,27.4042,26.0176,36.2921,42.4892,20.51991,29.1353
ENSGALG00000006273,1,1,0,2.73319,3,0,0,0,5.25281,1,2.46341,2.62822
ENSGALG00000006282,364.098,325.912,307.537,296.158,259.671,336.242,285.975,276.289,300.925,311.08,288.331,333.312
