Gene_ID	NC_8ss_rep1	NC_8ss_rep2	NC_8ss_rep3	NC_8ss_rep4	NC_5ss_rep1	NC_5ss_rep2	NC_5ss_rep3	NC_5ss_rep4	Neg_rep1	Neg_rep2	Neg_rep3
ENSGALG00000014038	808	854	1124	836	1098	1070	948	1192	851	402	919
ENSGALG00000033051	15	20	13	28	10	8	21	9	5	29	40
ENSGALG00000030140	135	147	161	182	192	188	167	243	14	24	51
ENSGALG00000013738	981	965	942	1134	1211	1581	1322	1836	1375	1114	1397
ENSGALG00000034198	2589	2733	1155	1775	4018	4765	2081	2191	1469	745	798
ENSGALG00000051529	32	35	114	90	113	109	86	66	37	96	65
ENSGALG00000035636	115	226	259	179	307	343	325	248	201	164	145
ENSGALG00000051968	30	5	12	12	18	15	13	5	2	19	26
ENSGALG00000014575	2362	2628	2380	3400	4003	3490	3225	3544	2467	3507	3102
ENSGALG00000006682	374	363	319	448	660	636	679	649	803	982	1013
ENSGALG00000043593	1528	1524	1991	2706	2434	2169	1928	2766	1939	1787	2584
ENSGALG00000034992	169	256	53	94	167	166	216	135	245	120	216
ENSGALG00000050213	30	40	3	31	28	11	28	8	5	15	16
ENSGALG00000025161	0	0	0	1	0	1	6	2	0	0	0
ENSGALG00000054941	50	63	13	43	68	6	36	21	43	93	67
ENSGALG00000054570	68	59	9	138	27	40	97	63	2	15	36
ENSGALG00000033226	1333	1766	1751	1597	2387	2346	2061	2802	3249	2062	1916
ENSGALG00000049029	0	0	4	0	1	0	0	0	0	3	0
ENSGALG00000054077	0	0	0	0	0	0	0	0	1	1	0
ENSGALG00000035201	1963	2358	3332	2599	3466	3026	2193	3950	2872	2036	2514
ENSGALG00000013920	13116	14604	13231	25862	23127	20154	18559	23377	14881	6247	14760
ENSGALG00000013926	441	591	325	629	738	594	625	809	423	469	334
ENSGALG00000000451	0	21	26	30	49	0	40	34	7	23	27
ENSGALG00000006633	28	67	174	215	76	96	83	100	17	123	64
ENSGALG00000030844	703	732	888	1073	1059	1071	1102	1104	766	986	813
ENSGALG00000033788	5	4	0	2	8	0	7	2	2	2	4
ENSGALG00000030324	79	60	51	98	65	57	106	101	48	73	37
ENSGALG00000006576	115	196	69	169	278	502	249	200	26	43	63
ENSGALG00000047509	0	8	1	0	7	0	0	1	0	0	0
ENSGALG00000047727	1	5	4	0	1	0	9	0	6	13	3
ENSGALG00000006563	434	287	604	568	639	533	1201	833	893	1820	1524
ENSGALG00000006560	903	816	776	1164	1270	823	2074	946	404	623	578
