,Date,Embryo,Treatment,FOV,ROI,Area,Mean,IntDen,CTCF
118,20210804,Emb4,GW4869;25uM,FOV2,0002-0379-3122,634.215,223.951,142032.762,8323.750409999979
119,20210804,Emb4,GW4869;25uM,FOV2,0002-1012-2810,725.846,376.416,273219.805,120192.596204
120,20210804,Emb4,GW4869;25uM,FOV2,0002-2018-2316,565.092,224.752,127005.356,7869.270008000007
121,20210804,Emb4,GW4869;25uM,FOV2,0002-1803-2463,271.0,353.16,95706.614,38572.768000000004
122,20210804,Emb4,GW4869;25uM,FOV2,0002-1883-2168,465.18699999999995,219.59799999999998,102154.222,4080.7075380000024
123,20210804,Emb4,GW4869;25uM,FOV2,0002-2275-2290,351.537,238.06599999999997,83688.938,9575.798437999998
124,20210804,Emb4,GW4869;25uM,FOV2,0002-2413-2110,341.86,227.72799999999998,77850.881,5777.904639999993
125,20210804,Emb4,GW4869;25uM,FOV2,0002-2054-1763,688.812,222.05700000000002,152955.416,7735.937287999986
126,20210804,Emb4,GW4869;25uM,FOV2,0002-2260-1946,213.595,245.707,52481.990999999995,7450.611529999995
127,20210804,Emb4,GW4869;25uM,FOV2,0002-2052-0555,403.083,223.78099999999998,90202.401,5222.024441999994
128,20210804,Emb4,GW4869;25uM,FOV2,0002-2109-0885,384.02,227.801,87480.129,6518.728480000005
129,20210804,Emb4,GW4869;25uM,FOV2,0002-1788-0793,276.805,237.481,65735.885,7378.194069999998
130,20210804,Emb4,GW4869;25uM,FOV2,0002-1820-0679,357.389,222.894,79659.908,4313.014685999995
131,20210804,Emb4,GW4869;25uM,FOV2,0002-2370-1574,523.121,228.935,119760.62800000001,9473.120054000014
132,20210804,Emb4,GW4869;25uM,FOV2,0002-1862-1632,403.727,230.358,93001.64199999999,7885.493497999996
133,20210804,Emb4,GW4869;25uM,FOV2,0002-3198-1032,405.015,322.315,130542.554,45154.86161000001
134,20210804,Emb4,GW4869;25uM,FOV2,0002-1922-1182,380.467,254.488,96824.29199999999,16611.95625799999
135,20210804,Emb1,GW4869;25uM,FOV3,0004-0716-2576,784.7769999999999,208.93599999999998,163968.305,17212.651669000013
