,Date,Embryo,Treatment,FOV,ROI,Area,H2BRFP Mean,H2BRFP LRP6 IntDen,H2BRFP CTCF,Surface LRP6 Mean,Surface LRP6 IntDen,Surface LRP6 CTCF,Internal LRP6 Mean,Internal LRP6 IntDen,Internal LRP6 CTCF,Total LRP6 CTCF,Internal / Surface LRP6 CTCF,Internalized Fraction CTCF,Total LRP6 Mean,Internalized Fraction Mean,Total LRP6 IntDen,Internalized Fraction IntDen,Internal / RFP,Norm
72,20210807,Emb3,ControlMO,FOV3,0004-0541-0912,483.051,2416.633,1167356.038,1035383.606494,226.663,109489.554,75667.772133,377.683,182440.18,32283.776649999985,107951.54878299999,0.42665160794288115,0.29905802199184356,604.346,0.6249449818481466,291929.734,0.6249455219933163,0.15628479789856384,0.00025860152611014857
73,20210807,Emb4,ControlMO,FOV6,0004-0364-0551,287.479,2024.792,582084.582,496953.1382510001,279.089,80232.198,59109.103517,484.67,139332.257,47029.93707500002,106139.04059200003,0.7956462588114542,0.4430974391014496,763.759,0.6345849934337926,219564.45500000002,0.6345847600878749,0.23936779679097905,0.0003134074973793815
74,20210807,Emb4,ControlMO,FOV6,0004-0416-0778,383.046,2968.534,1137084.97,1023653.174974,319.466,122370.084,94225.013058,440.992,168920.285,45933.790550000005,140158.803608,0.4874904132061575,0.3277267597008669,760.4580000000001,0.5799031636198185,291290.369,0.579903433058578,0.148555482268352,0.0001953500157383471
75,20210807,Emb4,ControlMO,FOV6,0004-1032-0322,481.86,1606.915,774307.885,631614.20134,356.685,171872.447,136466.81978,456.103,219777.816,65064.616500000004,201531.43628,0.4767797520664111,0.3228509541786907,812.788,0.5611586293104721,391650.263,0.5611583516286315,0.28383766409548733,0.0003492148802584282
76,20210807,Emb1,ControlMO,FOV6,0004-0620-0628,158.892,3333.217,529620.11,484690.69583599997,241.23,38329.476,23802.298224000006,561.685,89246.996,37187.780011999996,60990.078236,1.5623608973398764,0.6097349124246497,802.915,0.6995572383128973,127576.47200000001,0.6995568587286219,0.16851138104719854,0.00020987449611378355
77,20210807,Emb1,ControlMO,FOV6,0004-0921-0343,206.316,1346.667,277839.043,219499.686628,156.811,32352.608,13489.548751999999,398.775,82273.624,14676.456075999988,28166.004827999986,1.0879871777641201,0.5210698558643304,555.586,0.7177556669894489,114626.23199999999,0.7177556355512061,0.2961199762079267,0.0005329867495003954
78,20210807,Emb8,ControlMO,FOV4,0004-0625-0685,273.183,2672.898,730189.035,653917.434132,419.326,114552.498,81063.54039600001,779.196,212862.78,127571.496021,208635.036417,1.5737222356413991,0.6114576832916124,1198.522,0.6501307443668118,327415.278,0.6501308714127872,0.29151729695633727,0.00024323065989304934
79,20210807,Emb3,SMPD3MO,FOV8,0004-0608-0984,333.752,1045.401,348904.832,248429.459904,148.301,49495.751,25108.158607999998,363.678,121378.353,22722.930559999993,47831.08916799999,0.9050018726885045,0.4750661328281463,511.979,0.7103377286959035,170874.104,0.7103379046833218,0.347883730740644,0.0006794882812393555
80,20210807,Emb4,SMPD3MO,FOV7,0004-0524-0716,385.732,6145.487,2370510.848,2262291.421008,329.382,127053.18,99123.48307599999,536.859,207083.657,83942.187588,183065.67066399998,0.8468446122261444,0.45853593021308775,866.241,0.6197570883853339,334136.837,0.6197570398381428,0.08735825167313836,0.0001008475143443203
81,20210807,Emb4,SMPD3MO,FOV7,0004-0882-0998,401.278,3378.172,1355585.475,1243004.524432,267.45,107321.607,78266.270854,550.619,220951.276,92846.88600200001,171113.15685600002,1.1862950028013866,0.5426051842415318,818.069,0.6730715868710342,328272.88300000003,0.6730719698221311,0.1629931809274365,0.00019924136097008505
82,20210807,Emb4,SMPD3MO,FOV7,0004-0389-0208,389.087,2015.607,784246.605,675085.912628,416.988,162244.683,134072.060591,641.951,249774.717,125562.194033,259634.254624,0.9365276663871068,0.4836118185361868,1058.939,0.6062209437937407,412019.4,0.6062207677599647,0.3184901620206717,0.0003007634642039548
83,20210807,Emb7,ControlMO,FOV5,0004-0436-0399,217.139,2316.435,502988.455,441560.48331700003,268.934,58395.973,44371.833545999994,492.818,107009.993,46038.881773,90410.715319,1.0375699648578143,0.5092193067000857,761.752,0.6469533391444985,165405.96600000001,0.6469536473672297,0.21274846909151346,0.0002792883629993928
84,20210807,Emb7,ControlMO,FOV5,0004-0276-0263,225.965,3856.13,871349.268,807424.447395,253.143,57201.359,42607.183509999995,868.011,196139.766,132690.375755,175297.559265,3.114272402536471,0.7569436580369606,1121.154,0.7742121064545995,253341.125,0.774212106305283,0.22509899821842105,0.0002007743790937026
85,20210807,Emb7,ControlMO,FOV5,0004-0786-0771,195.995,3043.229,596457.242,541010.844485,255.662,50108.431,37449.89793,728.573,142796.485,87762.46096499998,125212.35889499998,2.3434632887128934,0.7009089337466713,984.235,0.7402429297881095,192904.91599999997,0.7402428510427387,0.23940787893385612,0.0002432425984991959
86,20210807,Emb7,ControlMO,FOV5,0004-0904-0697,190.79,3631.245,692805.125,638831.20637,570.808,108904.413,96582.05006000001,1038.177,198073.798,144501.30153,241083.35159,1.4961506971557441,0.5993831617860825,1608.985,0.6452372147658306,306978.211,0.6452373194656477,0.28590111655919664,0.0001776903554471898
87,20210807,Emb8,ControlMO,FOV9,0004-0990-0918,348.973,2409.429,840825.955,746750.5116059999,305.213,106511.229,81015.26162,459.401,160318.62,53335.363282000006,134350.624902,0.6583372344357554,0.39698634316665565,764.614,0.6008273455625975,266829.849,0.600827158583746,0.1906679964423106,0.0002493650344386979
88,20210807,Emb8,ControlMO,FOV9,0004-0848-0976,125.95,2954.832,372162.001,338208.6519,335.32,42233.611,33031.704,615.271,77493.613,38881.6253,71913.3293,1.1771001974345616,0.540673414490351,950.5909999999999,0.6472510259407043,119727.22399999999,0.6472513970590349,0.20822537457290297,0.00021904833369230613
89,20210807,Emb8,ControlMO,FOV9,0004-0813-0880,109.696,2932.978,321736.298,292164.669712,266.762,29262.747,21248.357239999998,463.235,50815.105,17186.041064000005,38434.398304,0.8088174003234146,0.4471525982549698,729.9970000000001,0.6345711009771272,80077.852,0.6345712794593942,0.15794015502332442,0.00021635726588372883
90,20210807,Emb7,SMPD3MO,FOV2,0004-0701-0488,726.303,874.275,634988.252,419262.461243,534.706,388358.416,338481.01008100004,382.409,277744.538,44950.626743,383431.63682400004,0.1328010299078318,0.11723244100390419,917.115,0.4169695185445664,666102.954,0.41696938338453904,0.43740127534242657,0.00047693176465593367
